"","param_val","DM1","DM2","DM3","DM4","DM5"
"half_life",2190,0.705875188400149,0.674270690136094,0.643280501315835,0.681172644174523,0.674270690136094
"F_m",0.346,-0.754381925199543,-0.615504002748546,0,-0.752585463015917,-0.615504002748546
"F_milk",0.039,0.758867401665343,0.620106408569024,0,0.758212889807471,0.620106408569024
"r_f_m",0.5,0.0420536983947268,0.273355763605945,0.989081718656294,0.113953454877747,0.273355763605945
"F_abs",0.9,1.0000004039663,1.00000028185097,0.999999322329821,1.00000049554991,1.00000028185097
"d_m",1,1.0000004039663,1.00000028185097,0.999999322329821,1.00000049554991,1.00000028185097
"A_m_init",0,0,0,0,0,0
